Número Município Nome                        Aponds
   808 4111506   Ivaiporã                         2
   809 4111803   Jacarezinho                      2
   810 4112009   Jaguariaíva                      2
   811 4113205   Lapa                             2
   812 4113304   Laranjeiras do Sul               2
   813 4113700   Londrina                         6
   814 4114203   Mandaguari                       2
   815 4114609   Marechal Cândido Rondon          2
   816 4114807   Marialva                         2
   817 4115200   Maringá                         20
   818 4115705   Matinhos                         2
   819 4115804   Medianeira                       2
   820 4117503   Paiçandu                         2
   821 4117602   Palmas                           2
   822 4117701   Palmeira                         2
   823 4117909   Palotina                         2
   824 4118204   Paranaguá                        7
   825 4118402   Paranavaí                        5
   826 4118501   Pato Branco                      4
   827 4119152   Pinhais                          5
   828 4119509   Piraquara                        4
   829 4119608   Pitanga                          2
   830 4119905   Ponta Grossa                    15
   831 4120606   Prudentópolis                    2
   832 4120903   Quedas do Iguaçu                 2
   833 4122206   Rio Branco do Sul                2
   834 4122305   Rio Negro                        2
   835 4122404   Rolândia                         3
   836 4124103   Santo Antônio da Platina         2
   837 4125506   São José dos Pinhais             6
   838 4125605   São Mateus do Sul                2
   839 4126256   Sarandi                          5
   840 4127106   Telêmaco Borba                   3
   841 4127700   Toledo                           7
   842 4128104   Umuarama                         5
   843 4128203   União da Vitória                 2
   844 4201406   Araranguá                        3
   845 4202008   Balneário Camboriú               7
   846 4202305   Biguaçu                          3
   847 4202404   Blumenau                        19
   848 4202800   Braço do Norte                   2
   849 4202909   Brusque                          5
   850 4203006   Caçador                          3
   851 4203204   Camboriú                         3
   852 4203600   Campos Novos                     2
   853 4203808   Canoinhas                        2
   854 4204202   Chapecó                         11
   855 4204301   Concórdia                        4
   856 4204608   Criciúma                        11
   857 4204806   Curitibanos                      2
   858 4205407   Florianópolis                   30
   859 4205506   Fraiburgo                        2
   860 4205902   Gaspar                           3
   861 4206504   Guaramirim                       2
   862 4207007   Içara                            3
   863 4207304   Imbituba                         2
   864 4207502   Indaial                          3
   865 4208203   Itajaí                          10
   866 4208302   Itapema                          2
   867 4208906   Jaraguá do Sul                   8
   868 4209003   Joaçaba                          2
   869 4209102   Joinville                       29
   870 4209300   Lages                            9
   871 4209409   Laguna                           3
   872 4210100   Mafra                            2
   873 4211306   Navegantes                       3
   874 4211900   Palhoça                          7
   875 4213203   Pomerode                         2
   876 4213609   Porto União                      2
   877 4214805   Rio do Sul                       3
   878 4215000   Rio Negrinho                     2
   879 4215802   São Bento do Sul                 4
   880 4216206   São Francisco do Sul             2
   881 4216305   São João Batista                 2
   882 4216602   São José                        15
   883 4217204   São Miguel do Oeste              2
   884 4217709   Sombrio                          2
   885 4218004   Tijucas                          2
   886 4218202   Timbó                            2
   887 4218301   Três Barras                      2
   888 4218707   Tubarão                          6
   889 4219309   Videira                          2
   890 4219507   Xanxerê                          2
   891 4300406   Alegrete                         4
   892 4300604   Alvorada                         9
   893 4301602   Bagé                             5
   894 4302105   Bento Gonçalves                  7
   895 4302808   Caçapava do Sul                  2
   896 4303004   Cachoeira do Sul                 5
   897 4303103   Cachoeirinha                     6
   898 4303509   Camaquã                          3
   899 4303905   Campo Bom                        3
   900 4304200   Candelária                       2
   901 4304408   Canela                           2
   902 4304507   Canguçu                          3
   903 4304606   Canoas                          19
   904 4304630   Capão da Canoa                   2
   905 4304705   Carazinho                        3
   906 4304804   Carlos Barbosa                   2
   907 4305108   Caxias do Sul                   27
   908 4305355   Charqueadas                      2
   909 4306106   Cruz Alta                        3
   910 4306403   Dois Irmãos                      2
   911 4306601   Dom Pedrito                      2
   912 4306767   Eldorado do Sul                  2
   913 4307005   Erechim                          6
   914 4307609   Estância Velha                   2
   915 4307708   Esteio                           5
   916 4307807   Estrela                          2
   917 4307906   Farroupilha                      3
   918 4308201   Flores da Cunha                  2
   919 4308607   Garibaldi                        2
   920 4309100   Gramado                          2
   921 4309209   Gravataí                        15
   922 4309308   Guaíba                           5
   923 4310108   Igrejinha                        2
   924 4310207   Ijuí                             5
   925 4310603   Itaqui                           2
   926 4311007   Jaguarão                         2
   927 4311304   Lagoa Vermelha                   2
   928 4311403   Lajeado                          4
   929 4311809   Marau                            2
   930 4312401   Montenegro                       3
   931 4313409   Novo Hamburgo                   14
   932 4313508   Osório                           2
   933 4313706   Palmeira das Missões             2
   934 4313904   Panambi                          2
   935 4314050   Parobé                           2
   936 4314100   Passo Fundo                     10
   937 4314407   Pelotas                         20
   938 4314803   Portão                           2
   939 4314902   Porto Alegre                    42
   940 4315602   Rio Grande                      11
   941 4315701   Rio Pardo                        2
   942 4316402   Rosário do Sul                   2
   943 4316808   Santa Cruz do Sul                6
   944 4316907   Santa Maria                     16
   945 4317103   Santana do Livramento            5
   946 4317202   Santa Rosa                       4
   947 4317301   Santa Vitória do Palmar          2
   948 4317400   Santiago                         3
   949 4317509   Santo Ângelo                     4
   950 4317608   Santo Antônio da Patrulha        2
   951 4318002   São Borja                        3
   952 4318309   São Gabriel                      3
   953 4318507   São José do Norte                2
   954 4318705   São Leopoldo                    13
   955 4318804   São Lourenço do Sul              2
   956 4318903   São Luiz Gonzaga                 2
   957 4319901   Sapiranga                        4
   958 4320008   Sapucaia do Sul                  7
   959 4320800   Soledade                         2
   960 4321204   Taquara                          3
   961 4321303   Taquari                          2
   962 4321451   Teutônia                         2
   963 4321501   Torres                           2
   964 4321600   Tramandaí                        2
   965 4322004   Triunfo                          2
   966 4322400   Uruguaiana                       6
   967 4322509   Vacaria                          3
   968 4322608   Venâncio Aires                   4
   969 4323002   Viamão                          11
   970 5000609   Amambaí                          2
   971 5001102   Aquidauana                       2
   972 5002704   Campo Grande                     8
   973 5003207   Corumbá                          4
   974 5003306   Coxim                            2
   975 5003702   Dourados                        10
   976 5005400   Maracaju                         2
   977 5005707   Naviraí                          2
   978 5006200   Nova Andradina                   2
   979 5006309   Paranaíba                        2
   980 5006606   Ponta Porã                       4
   981 5007901   Sidrolândia                      2
   982 5008305   Três Lagoas                      4
   983 5100250   Alta Floresta                    2
   984 5101704   Barra do Bugres                  2
   985 5101803   Barra do Garças                  3
   986 5102504   Cáceres                          4
   987 5102678   Campo Verde                      2
   988 5103403   Cuiabá                          18
   989 5104104   Guarantã do Norte                2
   990 5104807   Jaciara                          2
   991 5105101   Juara                            2
   992 5105150   Juína                            2
   993 5105259   Lucas do Rio Verde               2
   994 5106224   Nova Mutum                       2
   995 5106752   Pontes e Lacerda                 2
   996 5107040   Primavera do Leste               2
   997 5107602   Rondonópolis                    11
   998 5107909   Sinop                            5
   999 5107925   Sorriso                          3
  1000 5107958   Tangará da Serra                 4
  1001 5108402   Várzea Grande                   17
  1002 5200258   Águas Lindas de Goiás            7
  1003 5201108   Anápolis                        12
  1004 5201405   Aparecida de Goiânia            13
  1005 5204508   Caldas Novas                     4
  1006 5205109   Catalão                          4
  1007 5205497   Cidade Ocidental                 2
  1008 5206206   Cristalina                       2
  1009 5208004   Formosa                          5
  1010 5208608   Goianésia                        3
  1011 5208707   Goiânia                         43
  1012 5208806   Goianira                         2
  1013 5208905   Goiás                            2
  1014 5209101   Goiatuba                         2
  1015 5210000   Inhumas                          2
  1016 5210208   Iporá                            2
  1017 5210406   Itaberaí                         2
  1018 5211206   Itapuranga                       2
  1019 5211503   Itumbiara                        5
  1020 5211800   Jaraguá                          2
  1021 5211909   Jataí                            4
  1022 5212501   Luziânia                         7
  1023 5213087   Minaçu                           2
  1024 5213103   Mineiros                         2
  1025 5213806   Morrinhos                        2
  1026 5214606   Niquelândia                      2
  1027 5215231   Novo Gama                        4
  1028 5217401   Pires do Rio                     2
  1029 5217609   Planaltina                       3
  1030 5218003   Porangatu                        2
  1031 5218300   Posse                            2
  1032 5218508   Quirinópolis                     2
  1033 5218805   Rio Verde                        8
  1034 5219308   Santa Helena de Goiás            2
  1035 5219753   Santo Antônio do Descoberto      2
  1036 5220108   São Luís de Montes Belos         2
  1037 5220454   Senador Canedo                   3
  1038 5221403   Trindade                         5
  1039 5221601   Uruaçu                           2
  1040 5221858   Valparaíso de Goiás              7
  1041 5300108   Brasília                        51
