Número Município Nome                        Aponds
   191 2312403   São Gonçalo do Amarante          2
   192 2312908   Sobral                           9
   193 2313104   Tabuleiro do Norte               2
   194 2313302   Tauá                             2
   195 2313401   Tianguá                          3
   196 2313500   Trairi                           2
   197 2314003   Várzea Alegre                    2
   198 2314102   Viçosa do Ceará                  2
   199 2400208   Açu                              2
   200 2401008   Apodi                            2
   201 2402006   Caicó                            3
   202 2402600   Ceará-Mirim                      3
   203 2403103   Currais Novos                    2
   204 2403251   Parnamirim                      11
   205 2407104   Macaíba                          2
   206 2407203   Macau                            2
   207 2408003   Mossoró                         13
   208 2408102   Natal                           23
   209 2408300   Nova Cruz                        2
   210 2411205   Santa Cruz                       2
   211 2412005   São Gonçalo do Amarante          4
   212 2412203   São José de Mipibu               2
   213 2501807   Bayeux                           4
   214 2503209   Cabedelo                         3
   215 2503704   Cajazeiras                       3
   216 2504009   Campina Grande                  21
   217 2504306   Catolé do Rocha                  2
   218 2506004   Esperança                        2
   219 2506301   Guarabira                        3
   220 2507507   João Pessoa                     12
   221 2508901   Mamanguape                       2
   222 2509701   Monteiro                         2
   223 2510808   Patos                            5
   224 2512101   Pombal                           2
   225 2512507   Queimadas                        2
   226 2513703   Santa Rita                       6
   227 2515302   Sapé                             2
   228 2516201   Sousa                            3
   229 2600054   Abreu e Lima                     5
   230 2600104   Afogados da Ingazeira            2
   231 2600500   Águas Belas                      2
   232 2600708   Aliança                          2
   233 2601102   Araripina                        3
   234 2601201   Arcoverde                        3
   235 2601409   Barreiros                        2
   236 2601706   Belo Jardim                      3
   237 2601904   Bezerros                         3
   238 2602001   Bodocó                           2
   239 2602100   Bom Conselho                     2
   240 2602209   Bom Jardim                       2
   241 2602308   Bonito                           2
   242 2602605   Brejo da Madre de Deus           2
   243 2602803   Buíque                           2
   244 2602902   Cabo de Santo Agostinho          8
   245 2603454   Camaragibe                       7
   246 2604007   Carpina                          3
   247 2604106   Caruaru                         12
   248 2604205   Catende                          2
   249 2604908   Cumaru                           2
   250 2605103   Custódia                         2
   251 2605202   Escada                           2
   252 2605301   Exu                              2
   253 2605806   Frei Miguelinho                  2
   254 2606002   Garanhuns                        7
   255 2606200   Goiana                           3
   256 2606408   Gravatá                          4
   257 2606804   Igarassu                         5
   258 2607208   Ipojuca                          3
   259 2607653   Itambé                           2
   260 2607901   Jaboatão dos Guararapes         17
   261 2608107   João Alfredo                     2
   262 2608800   Lajedo                           2
   263 2608909   Limoeiro                         2
   264 2609402   Moreno                           2
   265 2609501   Nazaré da Mata                   2
   266 2609600   Olinda                          15
   267 2609907   Ouricuri                         2
   268 2610004   Palmares                         2
   269 2610608   Paudalho                         2
   270 2610707   Paulista                        13
   271 2610905   Pesqueira                        3
   272 2611002   Petrolândia                      2
   273 2611101   Petrolina                       14
   274 2611606   Recife                          40
   275 2611804   Ribeirão                         2
   276 2612208   Salgueiro                        2
   277 2612505   Santa Cruz do Capibaribe         4
   278 2612604   Santa Maria da Boa Vista         2
   279 2613008   São Bento do Una                 2
   280 2613107   São Caitano                      2
   281 2613602   São José do Egito                2
   282 2613701   São Lourenço da Mata             5
   283 2613909   Serra Talhada                    3
   284 2614105   Sertânia                         2
   285 2614204   Sirinhaém                        2
   286 2614501   Surubim                          3
   287 2615300   Timbaúba                         2
   288 2615409   Toritama                         2
   289 2616407   Vitória de Santo Antão           6
   290 2700300   Arapiraca                       12
   291 2700409   Atalaia                          2
   292 2701407   Campo Alegre                     2
   293 2702306   Coruripe                         2
   294 2702405   Delmiro Gouveia                  2
   295 2702900   Girau do Ponciano                2
   296 2704302   Maceió                          22
   297 2704708   Marechal Deodoro                 2
   298 2706307   Palmeira dos Índios              3
   299 2706703   Penedo                           2
   300 2706901   Pilar                            2
   301 2707701   Rio Largo                        3
   302 2708006   Santana do Ipanema               2
   303 2708600   São Miguel dos Campos            2
   304 2709152   Teotônio Vilela                  2
   305 2709301   União dos Palmares               3
   306 2800308   Aracaju                         16
   307 2802106   Estância                         3
   308 2802908   Itabaiana                        4
   309 2803005   Itabaianinha                     2
   310 2803203   Itaporanga d'Ajuda               2
   311 2803500   Lagarto                          5
   312 2804805   Nossa Senhora do Socorro         8
   313 2806701   São Cristóvão                    4
   314 2807105   Simão Dias                       2
   315 2807402   Tobias Barreto                   2
   316 2900702   Alagoinhas                       7
   317 2901007   Amargosa                         2
   318 2901908   Aporá                            2
   319 2902104   Araci                            2
   320 2902708   Barra                            2
